,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,*Date of Status Change: Date of DISCO status if available; otherwise date of change/addition to file. ,,,"PRICE LIST - DIRECT
Effective November 8, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, Pricing  ,,,,,,,,Category,,,,,,,,Each: Dimensions & Weight,,,,,,Master Pack/Carton: Dimensions and Weight,,,,,,,Case: Dimensions and Weight,,,,,,,Pallet: Dimensions and Weight,,,,,,,,
Catalog Number,Ghost Sku/Product Code,"Status
",*Date of Status Change,Replacement SKU ,Brand,SBU ,Division ,Description,Industry List,45% Off (Irwin Only),Gold / P1,Platinum / P2, Surcharge , 45% Off + Surcharge (IRWIN Only) , Gold + Surcharge ,Platinum +  Surcharge,Category,Sub Category,"Application Tool
(for Fastening Products)","MOQ (Buy Multiples)
","Pack Qty
(for Fasteners)",MTO?            (Yes Or No),Country of Orgin ,Commodity Code,"Each
UPC Code","Each
Length (IN)","Each
Width (IN)","Each 
Height (IN)","Each
Gross Weight (LB)","Each 
Volume (CUB)","Master Pack
UPC Code","Master Pack 
Qty",Master Pack Length (IN),Master Pack Width (IN),Master Pack Height (IN),"Master Pack 
Gross Weight (LB)",Master Pack Volume (CUB),"Case 
UPC Code","Case 
Qty","Case 
HNVC115J06,,NEW,04/26/21,,BLACK+DECKER,OHP,18,3.6V 1.5AH CORDLESS HAND VACUUM RED,29.14,0,14.58,13.87,5%,0,15.31,14.57,EPP CORDLESS HAND VACS,OPP DUSTBUSTER,,1,,NO,VN,8508110000,885911610698,15.789,5.344,4.546,1.75,0.222,40028877519928,2,9.375,5.9,16.313,3.865,0.522,-,-,-,-,-,-,-,60885911350404,140,48,40,37.625,270.55,41.806,70,2
HNVC215B10,,ACTIVE,03/18/19,,BLACK+DECKER,OHP,18,7.2V 1.5AH CORDLESS HAND VACUUM WHITE,60.08,0,30.03,28.6,5%,0,31.54,30.04,EPP CORDLESS HAND VACS,OPP DUSTBUSTER,,1,,NO,VN,8508110000,885911610681,17.13,4.549,5.39,2.306,0.243,40028877519935,2,9.385,5.688,17.688,4.985,0.546,-,-,-,-,-,-,-,60885911592453,160,48,40,50,398.8,55.556,20,8
HNVC215B12,,ACTIVE,03/18/19,,BLACK+DECKER,OHP,18,7.2V 1.5AH CORDLESS HAND VACUUM ICY BLUE,48.82,0,24.4,23.24,5%,0,25.63,24.41,EPP CORDLESS HAND VACS,OPP DUSTBUSTER,,1,,NO,VN,8508110000,885911610674,17.13,4.549,5.39,2.306,0.243,40028877519942,2,9.385,5.688,17.688,4.985,0.546,-,-,-,-,-,-,-,60885911591265,160,48,40,50,398.8,55.556,20,8
HNVC215BW52,,ACTIVE,03/26/19,,BLACK+DECKER,OHP,18,7.2V 1.5AH CORDLESS WET/DRY HAND VAC,98.15,0,49.07,46.74,5%,0,51.53,49.08,EPP CORDLESS HAND VACS,OPP DUSTBUSTER,,1,,NO,VN,8508110000,885911610667,17.13,4.549,5.39,2.385,0.243,40028877519959,2,9.385,5.688,17.688,5.144,0.546,-,-,-,-,-,-,-,60885911350435,140,48,40,40.375,360.08,44.861,20,8
HNVC220BCZ00,,ACTIVE,03/18/19,,BLACK+DECKER,OHP,18,7.2V 2.0AH CORDLESS HAND VAC- BLACK,46.19,0,23.08,21.99,5%,0,24.24,23.09,EPP CORDLESS HAND VACS,OPP DUSTBUSTER,,1,,NO,VN,8508110000,885911610643,17.13,4.549,5.39,2.288,0.243,40028877519973,2,9.385,5.688,17.688,4.95,0.546,-,-,-,-,-,-,-,60885911350459,140,48,40,40.375,346.5,44.861,20,8
HNVC220BCZ01,,ACTIVE,03/18/19,,BLACK+DECKER,OHP,18,7.2V 2.0AH CORDLESS HAND VAC- GRAY,80.09,0,40.04,38.13,5%,0,42.05,40.04,EPP CORDLESS HAND VACS,OPP DUSTBUSTER,,1,,NO,VN,8508110000,885911610636,17.13,4.549,5.39,2.313,0.243,40028877519980,2,9.385,5.688,17.688,4.99,0.546,-,-,-,-,-,-,-,60885911589323,160,48,40,50,399.2,55.556,20,8
HRV425BL,,ACTIVE,05/25/17,,BLACK+DECKER,OHP,18,SMARTECH LED ROBOTIC VAC,838.41,0,419.2,399.24,5%,0,440.16,419.21,ROBOTICS,ROBOTIC VACUUM,,1,,NO,CN,8508110000,885911495233,20.438,6.375,16.438,13.3,1.239,40028877467526,1,20.75,7,17.25,14.45,1.45,-,-,-,-,-,-,-,60885911267405,24,48,40,47,346.8,52.222,4,6
HSMC1321,,ACTIVE,04/19/17,,BLACK+DECKER,OHP,18,BLACK+DECKER 2 IN 1 STEAM MOP,248.12,0,124.05,118.14,5%,0,130.26,124.05,STEAM CLEANERS,HPP STEAM MOP,,1,,NO,CN,8516790000,885911490702,12.795,7.3,25.4,8.5,1.373,40028877463320,2,14.567,13.386,25.984,18.73,2.932,-,-,-,-,-,-,-,60885911262301,24,48,40,47.5,224.76,52.778,8,3
HSMC1361SGP,,ACTIVE,02/15/17,,BLACK+DECKER,OHP,18,GEN 3 STEAM MOP,355.22,0,177.6,169.15,5%,0,186.49,177.61,STEAM CLEANERS,MPP STEAM MOP,,1,,NO,CN,8516790000,885911508643,12.795,7.047,25.591,10.108,1.335,40028877463337,2,14.567,13.386,25.984,21.869,2.932,-,-,-,-,-,-,-,60885911262318,24,48,40,48.701,262.428,54.112,8,3
HSVB420J,,ACTIVE,05/31/19,,BLACK+DECKER,OHP,18,2IN1 CHASSIS STICK VACUUM,276.11,0,138.05,131.47,5%,0,144.96,138.05,EPP CORDLESS STICK VACS,OPP STICK VAC,,1,,NO,TW,8508110000,885911622424,8.392,6.188,22.09,5.95,0.664,40028877540335,2,12.993,8.899,22.798,12.95,1.525,-,-,-,-,-,-,-,60885911397010,60,48,40,49,388.5,54.444,-,-
HSVJ520JMBF27,,ACTIVE,05/03/16,,BLACK+DECKER,OHP,18,"20V MAX LITHIUM SV, SMARTECH, EGGPLANT",389.19,0,194.6,185.33,5%,0,204.33,194.6,MPP CORDLESS STICK VACS,MPP STICK VAC,,1,,NO,CN,8508110000,885911466189,11.5,8.375,29.587,8.8,1.649,40028877450269,2,17.125,12,30.063,20.2,3.575,-,-,-,-,-,-,-,60885911244345,16,48,40,35.06,161.6,38.956,4,3
