Segment/Level 1,Family/Level 2,Class/Level 3,Commodity/Level 4,UNSPSC,Seg,Fam,Cla,Com,Notes
Appliances,Appliances,,,,,,,,
appliances,Commercial Appliances,Blenders,,48011601,48,1,16,1,
Appliances,Commercial Appliances,Can Openers & Crushers,,48101602,48,10,16,2,Didn't match with mod
Appliances,Commercial Appliances,Char Broilers,,48101503,48,10,15,3,
Appliances,Commercial Appliances,Commercial Ovens,,48101517,48,10,15,17,
Appliances,Commercial Appliances,Dough Prep,,48101613,48,10,16,13,
Appliances,Commercial Appliances,Food Processors,,48101612,48,10,16,12,
Appliances,Commercial Appliances,Gas & Electric Fryers,,48101509,48,10,15,9,
Appliances,Commercial Appliances,Gas & Electric Ranges,,48101521,48,10,15,21,
Appliances,Commercial Appliances,Graters,,48101606,48,10,16,6,
Appliances,Commercial Appliances,Griddles,,48101511,48,10,15,11,
Appliances,Commercial Appliances,Gyro Machines / Vertical Broilers ,,52150000,52,15,0,0,
Appliances,Commercial Appliances,Heated Cabinets,,41102407,41,10,24,7,three possible choices
Appliances,Commercial Appliances,Herb Cabinets,,42142121,42,14,21,21,
Appliances,Commercial Appliances,Ice Cream & Frozen Beverage Machines,,23181804,23,18,18,4,
Appliances,Commercial Appliances,Induction Ranges,,40101831,40,10,18,31,
Appliances,Commercial Appliances,Juicers,,48101607,48,10,16,7,
Appliances,Commercial Appliances,Meat Grinders,,48101605,48,10,16,5,
Appliances,Commercial Appliances,Mixers,,32101523,32,10,15,23,
Appliances,Commercial Appliances,Outdoor Grills and Smokers,,48101512,48,10,15,12,
Appliances,Commercial Appliances,Pasta Cookers,,48101512,48,10,15,12,
Appliances,Commercial Appliances,Rethermalizers and Warmers,,48101510,48,10,15,10,
Appliances,Commercial Appliances,Rice Cookers,,48101530,48,10,15,30,
Appliances,Commercial Appliances,Slicers,,48101616,48,10,16,16,
Appliances,Commercial Appliances,Steamers,,48101524,48,10,15,24,
Appliances,Commercial Appliances,Sterilizers & Sanitizers,,47131833,47,13,18,33,
Appliances,Commercial Appliances,Toasters,,48101525,48,10,15,25,
Appliances,Commercial Appliances,Vacuum Pack Machines,,52141540,52,14,15,40,
Appliances,Commercial Appliances,Waffle / Crepe Machines,,48101526,48,10,15,26,
Appliances,Commercial Appliances,Warewashers and Dishwashers,,48101615,48,10,16,15,
Appliances,Commercial Refrigerators & Freezers,Bar Equipment,,48100000,48,10,0,0,
Appliances,Commercial Refrigerators & Freezers,Chef Bases,,52141500,52,14,15,0,
Appliances,Commercial Refrigerators & Freezers,Display Cases,,48102101,48,10,21,1,
Appliances,Commercial Refrigerators & Freezers,Food Prep Tables,,24131501,24,13,15,1,
Appliances,Commercial Refrigerators & Freezers,Freezers,,24131600,24,13,16,2,
Appliances,Commercial Refrigerators & Freezers,Ice Cream Freezers,,24131603,14,13,16,3,low temp freezer 
Appliances,Commercial Refrigerators & Freezers,Merchandisers,,80141605,,,,0,
Appliances,Commercial Refrigerators & Freezers,Milk Coolers ,,21101908,21,10,19,8,cooling tank
Appliances,Commercial Refrigerators & Freezers,Refrigerators,,24131508,24,13,15,8,
Appliances,Commercial Refrigerators & Freezers,Refrigerators/Freezers,,41103011,41,10,30,11,
Appliances,Commercial Refrigerators & Freezers,Undercounter Refrigerators & Freezers,,24131509,24,13,15,9,
Appliances,Commercial Refrigerators & Freezers,Worktop Refrigerators & Freezers,,24131500,,,,0,
Appliances,Concession Equipment,Assorted Signage,,55120000,55,12,0,0,
Appliances,Concession Equipment,Concession Fryers,,52150000,,,,0,
Appliances,Concession Equipment,Condiment Service Equipment,,48101912,48,10,19,12,
Appliances,Concession Equipment,Cotton Candy Machines,,48101532,48,10,15,32,
Appliances,Concession Equipment,Hot Dog Machines,,48101515,48,10,15,15,
Appliances,Concession Equipment,Popcorn Machines,,48101520,48,10,15,20,
Appliances,Concession Equipment,Snow Cone Machines,,52150000,,,,0,
Appliances,Concession Equipment,Soup Merchandisers,,48101910,48,10,19,10,
Appliances,Concession Equipment,Warmers & Merchandisers,,48101510,48,10,15,10,
Appliances,Food Service Appliances and Equipment,,,52140000,52,14,0,0,
Appliances,Ice Machines,Filters and Accessories,,40161502,,,,0,
Appliances,Ice Machines,Ice Storage Bins,,40161500,10,16,15,0,
Appliances,Ice Machines,Modular Machines,,24131900,,,,0,
Appliances,Ice Machines,Remote,,52161525,52,16,15,25,
Appliances,Ice Machines,Sanitary Dispensers,,47121816,47,12,18,16,level two mishap
Appliances,Ice Machines,Self Contained,,24131900,,,,0,
Appliances,Restaurant Equipment Parts,Electrical Components,,39120000,39,12,0,0,
Appliances,Restaurant Equipment Parts,Gas Components,,48101500,,,,0,
Appliances,Restaurant Equipment Parts,Hot Water & Steam Components,,24111800,,,,0,
Appliances,Restaurant Equipment Parts,Restaurant Equipment,,48100000,,,,0,
Appliances,Walk-in Freezers and Refrigerators,Walk-in Coolers,,24131503,24,13,15,3,
Appliances,Walk-in Freezers and Refrigerators,Walk-in Freezers,,24131605,24,13,16,5,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Adhesive, Graffiti & Rust Removers",15121803,15,12,18,3,should be seperated into 3
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,All-Purpose Cleaners & Degreasers,47131805,47,13,18,5,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Bathroom, Tile & Toilet Bowl Cleaners",47131829,47,13,18,29,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Bathroom, Tile & Toilet Bowl Cleaners",47131829,47,13,18,29,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Bleach,47131807,47,13,18,7,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Carpet, Floor & Upholstery Cleaners",47131826,47,13,18,26,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Carpet, Floor & Upholstery Cleaners",47131826,47,13,18,26,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Carpet, Floor & Upholstery Cleaners",47131826,47,13,18,26,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Carpet, Floor & Upholstery Cleaners",47131826,47,13,18,26,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Detergents,12161902,12,16,19,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Detergents,12161902,12,16,19,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Drain Cleaners & Openers,47131815,47,13,18,15,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Electrical Contact & Cable Cleaners,47131825,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Glass Cleaners,47131824,47,13,18,24,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Metal, Stone & Furniture Polishes & Cleaners",47131830,47,13,18,30,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Oven Cleaners,52152301,52,15,23,1,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Vehicle & Pressure Washing Cleaners,26101111,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,,12161902,12,16,19,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Compressed Air Dusters,,44102904,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Concrete Remover,,47131800,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Disinfectants & Sanitizers,,53131626,53,13,16,26,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Drain Openers,,47131815,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Floor Cleaners,,47131801,47,13,18,1,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,General Purpose Cleaners,,47131805,47,13,18,5,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Glass Cleaners,,47131824,47,13,18,24,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Industrial Cleaners & Degreasers,,47131821,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Kitchen Cleaners & Detergents,,12161902,12,16,19,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Laundry Detergent,,12161902,12,16,19,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Metal Cleaners & Polishes,,47131814,47,13,18,14,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Odor Control,Air Freshener Dispenser Refills,47131706,47,13,17,6,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Odor Control,Air Fresheners,47131812,47,13,18,12,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Odor Control,Fabric Refreshers & Dryer Sheets,47131811,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Odor Control,"Toilet, Urinal, Blocks & Screens",47131705,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Odor Control,"Toilet, Urinal, Blocks & Screens",47131705,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Odor Control,,47101530,47,10,15,30,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Oven & Grill Cleaners,,52152301,52,15,23,1,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Proportioners & Accessories,Proportioner Accessories,48181700,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Proportioners & Accessories,Proportioners,40151552,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Rust Removers,,15121803,15,12,18,3,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Specialty Cleaners,Adhesive & Paint Removers,44121626,44,12,16,26,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Specialty Cleaners,Circuit Board Cleaners,44102911,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Specialty Cleaners,Coffee Machine Cleaners,47131805,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Specialty Cleaners,Deck & House Wash,47131830,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Specialty Cleaners,Ice Machine Cleaners,47131819,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Specialty Cleaners,Screen & Electronics Wipes,44102911,44,10,29,11,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Specialty Cleaners,Whiteboard Cleaner,44111909,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Spray Bottles & Triggers,,52511644,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Wood Cleaners & Polishes,,47131806,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Attachments & Tools,47121900,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Cleaning & Disinfecting Wipes,42181508,42,18,15,8,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Filters,40161500,40,16,15,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Floor Brushes,47131600,47,13,16,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Floor Pads,47121608,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Light Bulb Changer,27112119,27,11,21,19,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Scrubber Squeegees,47121803,47,12,18,3,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Vacuum Bags,24111506,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Broom/Squeegee Poles & Handles,47131609,47,13,16,9,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Brooms,47131604,47,13,16,4,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Brooms,47131604,47,13,16,4,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Brooms,47131604,47,13,16,4,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Brush Heads,47131615,47,13,16,15,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Dust Mops,47131617,47,13,16,17,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Dust Mops,47131617,47,13,16,17,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Dust Pans,47131617,47,13,16,17,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Dust Pans & Scoops,47131617,47,13,16,17,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Dusters,47121801,47,12,18,1,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Dusters,47121801,47,12,18,1,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Dusters,47121801,47,12,18,1,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Lint Rollers,47121802,47,12,18,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Magnetic Sweepers,27112109,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Push Brooms,47131615,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Sweeping Compound,47131902,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,,47121801,47,12,18,1,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,,47121801,47,12,18,1,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,"Brushes, Sponges & Squeegees","Brushes, Sponges & Squeegees",47131603,47,13,16,3,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,"Brushes, Sponges & Squeegees",Cleaning Brushes,27113000,27,11,30,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,"Brushes, Sponges & Squeegees",Sponges & Scouring Pads,47131603,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,"Brushes, Sponges & Squeegees",Squeegees,47131603,47,13,16,3,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,"Brushes, Sponges & Squeegees",Squeegees Frames & Refills,47121803,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,"Brushes, Sponges & Squeegees",Toilet Brushes & Plungers,47121807,47,12,18,7,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,"Brushes, Sponges & Squeegees",,47131603,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Cleaning Tools,Cleaning Cloths & Towels,52121700,52,12,17,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Cleaning Tools,Cleaning Tool Accessories,47131600,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Cleaning Tools,Dry Cleaning Wipes,47131502,47,13,15,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Cleaning Tools,Equipment Covers,44102907,44,10,29,7,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Cleaning Tools,Grabbers & Light Bulb Changers,27112119,27,11,21,19,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Cleaning Tools,Industrial Wipes & Dispensers,47121810,47,12,18,10,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Cleaning Tools,Industrial Wipes & Dispensers,47121810,47,12,18,10,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Cleaning Tools,Industrial Wipes & Dispensers,47121810,47,12,18,10,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Cleaning Tools,Mat Washing Racks,52101511,,,,,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Cleaning Tools,Rags and Wipes,47131501,47,13,15,1,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Cleaning Tools,Scrapers,27112009,27,11,20,9,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Cleaning Tools,Wash Down Hoses & Nozzles,40141731,40,14,17,31,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Dispensers & Organizers,Broom Holders,47131613,47,13,16,13,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Dispensers & Organizers,Buckets,47121804,47,12,18,4,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Dispensers & Organizers,Chemical Dispensers,47131711,47,13,17,11,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Dispensers & Organizers,Cleaning Caddies & Dispensers,47131600,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Dispensers & Organizers,Spray Bottles,52511644,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Dispensers & Organizers,Tank Sprayers,21101801,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Furniture Care,,72153613,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Buckets & Pails,47121804,47,12,18,4,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Cleaning & Finishing Brushes,60121228,60,12,12,28,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Cleaning & Finishing Brushes,60121228,60,12,12,28,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Cleaning & Finishing Brushes,60121228,60,12,12,28,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Cleaning & Finishing Brushes,60121228,60,12,12,28,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Cleaning & Finishing Brushes,60121228,60,12,12,28,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,"Deck Mops, Mopping Kits & Wall Washers",47131600,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Flat Mops,47131617,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Floor Signs,55121704,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Handle & Pole Accessories,47121900,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Mop & Broom Wall Hooks,41000000,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Mop Bucket Accessories,47121804,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Mop Buckets & Wringers,47121806,47,12,18,6,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Mop Buckets & Wringers,47121806,47,12,18,6,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Mop Buckets & Wringers,47121806,47,12,18,6,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Mop Handles,47131609,47,13,16,9,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Mop Handles,47131609,47,13,16,9,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Sponge & Spray Mops,47131618,47,13,16,18,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Sponge Mops & Sponge Mop Refills,47131600,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Strip Washer Handles & Sleeves,47121803,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Wet Mop Heads & Pads,47131619,47,13,16,19,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Mopping,Wet Mops,47131618,47,13,16,18,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Sanitizing Equipment,Electrostatic Sanitizing Equipment,60104903,60,10,49,3,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Backpack Vacuums,47121602,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Canister Vacuums,47121602,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Carpet & Floor Dryers,23201202,23,20,12,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Carpet Cleaners & Extractors,47131826,47,13,18,26,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Carpet Cleaning Machine Hoses & Accessories,47121609,47,12,16,9,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Carpet Cleaning Machines & Extractors,47131826,47,13,18,26,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Dust Collectors,40161503,40,16,15,3,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Dust Extraction Vacuums,47121602,47,12,16,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Floor & Carpet Sweepers & Accessories,47121607,47,12,16,7,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Floor & Carpet Sweepers & Accessories,47121607,47,12,16,7,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,"Floor Buffer, Polisher & Scrubber Accessories",12161705,12,16,17,5,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,"Floor Buffers, Polishers & Scrubbers",12161705,12,16,17,5,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Floor Burnishers,27111956,27,11,19,56,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Floor Machine Motors,47121600,47,12,16,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,"Floor Pads, Bonnets & Screens",56101903,56,10,19,3,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Foggers,21101805,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Grinders & Polishers,41101708,41,10,17,8,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Hand Held Vacuums,47121602,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Hardware & Parts,31160000,31,16,0,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Magnetic Sweepers,27112109,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Robotic Vacuums,47121602,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Scrubbers & Floor Machines,47121605,47,12,16,5,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Spill Vacuums,47121602,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Steam Cleaners,47121805,47,12,18,5,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Stick Vacuums,47121602,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Sweepers,47121612,47,12,16,12,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Upright Vacuums,47121602,47,12,16,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Vacuum Blowers,27112701,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Vacuum Brush Strips,47121600,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Vacuum Cleaner Attachments & Accessories,47121607,47,12,16,7,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Vacuum Cleaner Attachments & Accessories,47121607,47,12,16,7,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Vacuum Cleaner Attachments & Accessories,47121607,47,12,16,7,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Vacuum Cleaner Attachments & Accessories,47121607,47,12,16,7,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Vacuum Cleaners,47121602,47,12,16,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Vacuum Cleaners,47121602,47,12,16,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Vacuum Cleaners,47121602,47,12,16,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Vacuum Cleaners,47121602,47,12,16,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Vacuum Cleaners,47121602,47,12,16,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Vacuum Hoses,40142016,40,14,20,16,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,Wet & Dry Vacuums,47121604,47,12,16,4,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,,47121600,47,12,16,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Vacuums and Floor Care Machines,,47121600,47,12,16,0,
"Cleaning, Janitorial, & Maintenance",Facilities Maintenance,Adhesives & Glue,Construction Adhesives,31201601,31,20,16,1,
"Cleaning, Janitorial, & Maintenance",Facilities Maintenance,Adhesives & Glue,Contact Cement,31201601,31,20,16,23,
"Cleaning, Janitorial, & Maintenance",Facilities Maintenance,Adhesives & Glue,Epoxy,13111001,13,11,10,1,
"Cleaning, Janitorial, & Maintenance",Facilities Maintenance,Adhesives & Glue,General Purpose Glue,31201610,31,20,16,10,
"Cleaning, Janitorial, & Maintenance",Facilities Maintenance,Adhesives & Glue,Hot Glue Sticks,30251503,30,25,15,3,
"Cleaning, Janitorial, & Maintenance",Facilities Maintenance,Adhesives & Glue,Super Glue,31201601,31,20,16,1,
"Cleaning, Janitorial, & Maintenance",Facilities Maintenance,Adhesives & Glue,Wood Glue,31201610,31,20,16,10,
"Cleaning, Janitorial, & Maintenance",Facilities Maintenance,Adhesives & Glue,,31201610,31,20,16,10,
"Cleaning, Janitorial, & Maintenance",Facilities Maintenance,Awnings & Shades,Awning Accessories,30151901,30,15,19,1,
"Cleaning, Janitorial, & Maintenance",Facilities Maintenance,Awnings & Shades,Entry & Window Awnings,30151901,30,15,19,1,
"Cleaning, Janitorial, & Maintenance",Facilities Maintenance,Awnings & Shades,Patio Covers,30221000,30,22,10,0,
"Cleaning, Janitorial, & Maintenance",Facilities Maintenance,Awnings & Shades,Retractable Patio Awnings,30151901,30,15,19,1,
"Cleaning, Janitorial, & Maintenance",Facilities Maintenance,Awnings & Shades,Shade Sails,25111903,25,11,19,3,
"Cleaning, Janitorial, & Maintenance",Facilities Maintenance,Bicycle Storage,Bike Lockers,56101520,56,10,15,20,
